TRADE_DT,S_DQ_PCTCHANGE,S_DQ_VOLUME
20050909,-1.1450,10399467.2300
20050912,0.4614,7656523.2300
20050913,2.3485,12496272.4100
20050914,1.1801,16597333.8500
20050915,0.3849,13582384.7700
20050916,-0.0944,10961532.3100
20050919,1.4004,12056208.7800
20050920,-0.6802,15747605.9200
20050921,-1.5553,15603139.4200
20050922,-3.2726,14408321.6800
20050923,-1.3027,9799784.0000
20050926,0.7243,6965689.9900
20050927,-2.0440,8805881.2600
20050928,-0.5367,7510781.5000
20050929,2.2211,8835360.2000
20050930,-0.2045,7529963.0600
20051010,-1.2376,6119495.2200
20051011,2.3144,7635267.5700
20051012,1.0343,9459205.1000
20051013,-0.4800,8287048.8700
20051014,-0.8373,7954049.9600
20051017,0.3087,7687888.2200
20051018,1.7004,9716210.5200
20051019,-0.8263,9843633.2100
20051020,0.0267,9521935.8400
20051021,0.9561,10024927.0300
20051024,0.3050,8789354.3700
20051025,-2.2478,8676966.4400
20051026,-2.6834,9382014.3900
20051027,-0.7535,8103937.1600
20051028,-2.6581,8668966.9200
20051031,0.4358,6492574.5800
20051101,-0.6433,6944239.7200
20051102,2.0633,9095992.6500
20051103,-1.3578,7559623.9300
20051104,0.7499,6449610.4400
20051107,0.8238,6132963.1200
20051108,0.8270,7297838.3400
20051109,-0.4541,7612746.6100
20051110,-2.8211,8439580.0600
20051111,0.3272,6380093.9400
20051114,0.4385,4468436.1600
20051115,-0.8553,5871615.6700
20051116,0.7558,5542224.4100
20051117,-0.1083,5533816.2800
20051118,2.1726,9690756.7400
20051121,0.3816,6608677.3700
20051122,-1.7931,6275090.5500
20051123,0.7630,4940421.5800
20051124,0.4274,5531201.1600
20051125,-0.0676,4849548.1500
20051128,-0.3315,4591305.2800
20051129,-1.3523,4499554.9600
20051130,0.3017,4805174.5800
20051201,-0.1576,3927208.8800
20051202,-1.2472,4399086.2300
20051205,-2.5601,4895370.1200
20051206,0.2449,3727782.4900
20051207,0.9889,3755355.4500
20051208,-0.1508,3896999.4500
20051209,1.6931,5563455.6200
20051212,0.6492,5468310.9600
20051213,0.0416,4917438.2600
20051214,0.9277,5933929.0400
20051215,-0.5975,6089472.5700
20051216,0.8456,5199474.5200
20051219,0.0210,4859568.9300
20051220,0.1686,4454202.7000
20051221,-0.6402,5205742.7000
20051222,0.5702,5080676.1800
20051223,1.2072,6446099.5400
20051226,0.8964,7860415.5000
20051227,0.1591,6528869.3200
20051228,0.3136,5615717.2400
20051229,1.1130,8617095.6400
20051230,-0.7633,7552316.0900
20060104,1.3485,8039010.0300
20060105,1.2621,10885811.5900
20060106,1.0431,13370231.6600
20060109,1.4718,12361296.4800
20060110,0.6765,11200080.1600
20060111,-0.5153,12953141.7200
20060112,2.3082,14024614.5700
20060113,0.5476,14459388.9300
20060116,-1.3048,12592136.2200
20060117,-0.1144,8918319.4600
20060118,2.1601,11474786.6300
20060119,1.1475,13989234.7500
20060120,0.3007,14779172.3700
20060123,0.8711,14125714.1900
20060124,-0.0745,14103819.2600
20060125,-0.2672,12817111.5300
20060206,2.4142,12923121.6700
20060207,0.0677,17016907.9200
20060208,0.1395,13588630.9300
20060209,-1.3598,11835024.2200
20060210,1.1576,11797244.3700
20060213,-0.3472,11393721.6300
20060214,0.8860,10447628.1000
20060215,0.0106,12322016.1900
20060216,-2.7958,14477526.8300
20060217,-0.8968,11246007.6700
20060220,-0.6556,9821570.7000
20060221,1.7220,10166777.2500
20060222,-0.0073,10339439.9300
20060223,-0.1276,9184009.4100
20060224,0.8804,10007130.2800
20060227,-0.3912,9025472.9000
20060228,0.1398,8702274.9400
20060301,0.7609,9658441.2800
20060302,-1.9235,11407653.5600
20060303,0.1141,9435551.6600
20060306,-0.2206,7323049.1300
20060307,-2.4965,8621116.7200
20060308,-0.4034,7226656.4500
20060309,-0.5082,6110908.8000
20060310,0.1688,6049099.2100
20060313,0.7416,5621891.2600
20060314,0.3450,6342600.1800
20060315,1.1772,7998642.7800
20060316,0.3006,8182272.6500
20060317,-0.1902,8944893.0200
20060320,1.3153,9120389.0300
20060321,0.3963,11865276.9900
20060322,1.2720,11514166.0600
20060323,0.8953,13897920.9000
20060324,-0.6700,12647982.3200
20060327,1.0144,10706853.3100
20060328,1.0535,13360061.3500
20060329,0.3202,15784085.4200
20060330,-1.0772,13329955.2800
20060331,1.3470,13282342.5400
20060403,2.5531,17490890.9900
20060404,1.2011,18674872.4800
20060405,1.0169,18667858.5000
20060406,0.4794,21173354.4900
20060407,1.3682,21288522.0400
20060410,2.1168,21976514.2900
20060411,0.3382,22595820.9800
20060412,0.0994,20140515.4600
20060413,-2.9947,22614391.4400
20060414,2.3989,16434914.4700
20060417,0.4898,19137336.6000
20060418,0.3856,17175728.6700
20060419,0.2670,18561782.2900
20060420,-0.8004,19770248.5200
20060421,0.9796,20485060.1600
20060424,-0.7412,22778341.8400
20060425,0.7935,20744156.4100
20060426,1.2467,22602809.9900
20060427,0.7619,18574313.5100
20060428,1.4543,20532797.5400
20060508,3.4198,22440402.3100
20060509,3.1647,29808582.1800
20060510,1.9274,31202885.2800
20060511,-0.3060,36588883.8000
20060512,3.7087,32967163.7500
20060515,4.7712,40668941.6900
20060516,-3.4940,39381620.4800
20060517,1.6206,32137141.5800
20060518,0.7005,28510402.1100
20060519,2.8189,30783975.7500
20060522,1.5451,33218174.6500
20060523,-4.3694,31406252.0700
20060524,-1.3168,26600866.8400
20060525,1.2399,19663824.6700
20060526,2.3082,20931172.6200
20060529,2.3624,23429286.0100
20060530,1.6589,24941388.7700
20060531,-0.5820,27598876.8200
20060601,3.8086,33069585.6800
20060602,0.1389,38325542.4800
20060605,1.8197,29413874.2200
20060606,-0.9325,25329401.7600
20060607,-6.7762,27931262.6700
20060608,0.3844,24671632.9900
20060609,-2.1509,23220739.3600
20060612,0.4531,14672115.5600
20060613,0.6613,14557767.6900
20060614,-1.0024,13987922.2700
20060615,0.3307,13827267.3900
20060616,2.2239,15949331.9100
20060619,1.1274,17174543.3100
20060620,1.2096,17933394.6100
20060621,-0.3112,18241678.9700
20060622,0.0550,16067073.7500
20060623,1.3629,16886956.2800
20060626,1.8612,20453222.1900
20060627,0.5181,20306082.6200
20060628,-0.1975,17768400.8500
20060629,1.8040,24385373.1200
20060630,-0.1458,24636734.5000
20060703,1.8892,25348765.2300
20060704,-0.3454,27850126.1200
20060705,-0.7412,21574748.9400
20060706,2.7724,25426140.1100
20060707,0.1349,25026863.1000
20060710,0.5701,19808479.2300
20060711,0.7615,20802043.9900
20060712,0.0139,25275444.3000
20060713,-6.5479,34944606.5800
20060714,0.7322,21196877.8600
20060717,1.6543,17734058.7000
20060718,0.7893,17912038.9500
20060719,-2.2725,19013809.3800
20060720,0.8188,16248454.7400
20060721,0.5812,15893080.2700
20060724,0.2392,16307505.2500
20060725,1.4409,17835350.0900
20060726,0.3749,17399888.8400
20060727,-1.1355,19791143.0600
20060728,-0.9589,18604575.5400
20060731,-4.4950,17977062.4100
20060801,-1.1327,14318330.8400
20060802,-0.4999,13078178.1800
20060803,-0.0501,11173162.8400
20060804,-3.3100,13257335.6900
20060807,-2.2920,12436967.3700
20060808,3.1173,12371064.0000
20060809,0.1762,11927142.6400
20060810,1.7368,12458222.3600
20060811,0.4936,12293776.9900
20060814,-2.9444,12974801.4000
20060815,1.9540,10117217.4400
20060816,1.7314,13800771.0500
20060817,-0.8239,12259591.2800
20060818,-0.7752,10095910.7000
20060821,0.5827,11813110.6200
20060822,1.1398,14067522.4800
20060823,-0.3739,13522173.1600
20060824,0.9490,12826365.4900
20060825,0.2962,15006759.9600
20060828,2.5492,19226082.9300
20060829,-0.0605,24396299.8200
20060830,0.8393,16136869.3400
20060831,0.7650,17971384.6000
20060901,-1.8886,18102291.5200
20060904,2.2379,16296001.7400
20060905,0.3847,19483676.5100
20060906,0.4598,17850907.7800
20060907,-1.6366,14341706.0600
20060908,0.0962,11912110.2100
20060911,0.5434,14193197.2500
20060912,0.3920,15312015.7500
20060913,-1.4585,14936861.4000
20060914,0.1196,15010711.1800
20060915,1.1508,15522868.9400
20060918,1.5663,17494033.4400
20060919,0.3330,19406254.0000
20060920,0.2860,17609937.5400
20060921,0.3071,16687352.0000
20060922,-0.8256,18487551.3700
20060925,0.3241,17092074.9100
20060926,-0.4013,15939399.6300
20060927,0.9448,13780127.2900
20060928,0.8422,16197201.7900
20060929,1.0116,19163800.8100
20061009,1.8518,21129866.3900
20061010,0.5878,25278769.1200
20061011,0.1665,21603318.0900
20061012,-1.5181,22633593.7300
20061013,0.5468,17678774.5800
20061016,-0.5569,18015112.4200
20061017,0.0909,16322135.3400
20061018,1.2803,15533562.2700
20061019,0.5533,18859082.6100
20061020,-0.5933,19020177.1700
20061023,-3.1854,21134776.5400
20061024,2.5866,17996568.5000
20061025,-0.7092,19871334.2000
20061026,-0.5882,15862159.1000
20061027,-1.6978,16776153.6100
20061030,-0.1989,13871483.5500
20061031,0.9444,14091961.4800
20061101,0.4462,15680124.5900
20061102,-0.1738,15894523.0500
20061103,0.2477,14239271.6200
20061106,-0.5839,14907359.2800
20061107,-0.9709,16321673.8600
20061108,-0.2754,12096574.5900
20061109,1.0788,13194955.6100
20061110,-2.5354,15683384.0100
20061113,-3.5488,14993645.7600
20061114,1.1093,12422880.6700
20061115,1.5550,13274863.2900
20061116,-1.4666,15009693.2300
20061117,0.9619,12995218.6700
20061120,-0.6834,14596352.3700
20061121,0.7518,14237566.6100
20061122,1.5656,18195598.7400
20061123,0.5665,16538872.3100
20061124,1.5043,19774506.3800
20061127,2.2865,19812298.7800
20061128,0.6464,19723051.5600
20061129,1.2566,20951209.2800
20061130,1.6793,27614668.9000
20061201,0.3320,27637902.8600
20061204,2.0863,29837775.7400
20061205,0.7372,35176816.2700
20061206,-1.5709,37482819.7000
20061207,-0.9842,32934337.7600
20061208,-3.7801,25808656.9100
20061211,3.1874,20101755.8300
20061212,0.3283,21683956.0300
20061213,0.5074,18968559.0200
20061214,1.6776,21859160.7400
20061215,1.6487,26099503.2200
20061218,1.6307,30747037.4000
20061219,0.4256,32015719.8400
20061220,1.8248,33838259.1100
20061221,-1.0604,36040827.8600
20061222,-0.5172,27420472.4600
20061225,0.9501,26413506.9900
